일자,조,종합측정실_인력,종합측정실_실적,치수_인력,치수_실적,Hole_인력,Hole_실적,외관_인력,외관_실적,캠퍼스,주야
2026-01-01,B,2,127,2,231,1,103,2,241,천안,주
2026-01-01,A,3,201,2,261,1,124,2,120,천안,야
2026-01-02,C,3,260,2,388,1,129,2,190,천안,주
2026-01-02,A,3,192,2,231,1,123,2,171,천안,야
2026-01-03,C,2,225,2,396,1,169,2,176,천안,주
2026-01-03,A,3,184,2,250,1,131,2,271,천안,야
2026-01-04,C,2,232,2,341,1,146,2,200,천안,주
2026-01-04,B,3,133,2,301,1,138,2,216,천안,야
2026-01-05,C,3,226,2,391,1,162,1,165,천안,주
2026-01-05,B,2,132,2,344,1,146,2,205,천안,야
2026-01-06,A,3,150,2,288,1,155,2,212,천안,주
2026-01-06,B,3,130,2,288,1,137,2,189,천안,야
2026-01-07,A,2,123,2,297,1,163,2,173,천안,주
2026-01-07,B,3,140,2,243,1,110,2,187,천안,야
2026-01-08,A,3,154,2,211,1,101,2,132,천안,주
2026-01-08,C,3,169,2,345,1,108,2,202,천안,야
2026-01-09,A,2,189,2,288,1,122,2,167,천안,주
2026-01-09,C,3,163,2,304,1,146,2,209,천안,야
2026-01-10,B,3,115,2,296,1,91,1,263,천안,주
2026-01-10,C,2,195,2,353,1,119,2,177,천안,야
2026-01-11,B,3,173,2,268,1,116,1,225,천안,주
2026-01-11,C,3,152,1,270,1,133,2,161,천안,야
2026-01-12,B,2,129,2,238,2,83,2,210,천안,주
2026-01-12,A,3,150,2,225,1,103,2,185,천안,야
2026-01-13,B,2,132,2,310,1,108,2,210,천안,주
2026-01-13,A,3,160,2,231,1,103,2,178,천안,야
2026-01-14,C,3,185,2,264,1,116,2,171,천안,주
2026-01-14,A,3,150,2,294,1,120,2,150,천안,야
2026-01-15,C,3,171,2,363,1,134,2,165,천안,주
2026-01-15,A,3,162,2,292,1,120,2,151,천안,야
2026-01-16,C,3,142,2,285,1,122,2,175,천안,주
2026-01-16,B,2,147,2,252,2,138,2,304,천안,야
2026-01-17,C,2,143,1,363,1,115,2,165,천안,주
2026-01-17,B,2,131,2,340,1,98,2,186,천안,야
2026-01-18,A,2,132,1,396,1,173,2,181,천안,주
2026-01-18,B,3,139,2,315,1,105,2,209,천안,야
2026-01-19,A,3,142,2,452,1,111,2,149,천안,주
2026-01-19,B,2,129,2,362,2,111,2,213,천안,야
2026-01-20,A,2,126,2,307,1,94,2,151,천안,주
2026-01-20,C,2,135,2,332,1,88,2,148,천안,야
2026-01-21,A,2,126,2,308,1,74,2,193,천안,주
2026-01-21,C,3,152,2,325,1,86,2,143,천안,야
2026-01-22,B,2,111,2,269,1,100,2,214,천안,주
2026-01-22,C,3,105,2,312,1,109,2,161,천안,야
2026-01-23,B,2,140,2,241,2,104,2,219,천안,주
2026-01-23,C,2,129,2,418,1,119,2,163,천안,야
2026-01-24,B,2,124,2,521,1,86,2,234,천안,주
2026-01-24,A,2,137,2,480,1,84,2,210,천안,야
2026-01-25,B,2,168,2,364,1,97,1,190,천안,주
2026-01-25,A,2,176,2,354,1,131,2,155,천안,야
2026-01-26,C,3,169,2,535,1,167,2,224,천안,주
2026-01-26,A,3,176,2,392,1,142,2,217,천안,야
2026-01-27,C,2,189,2,529,1,169,2,229,천안,주
2026-01-27,A,2,132,2,609,1,118,2,252,천안,야
2026-01-28,C,2,152,2,563,1,61,2,211,천안,주
2026-01-28,B,2,139,2,403,2,150,2,305,천안,야
2026-01-29,C,2,156,2,507,1,96,2,225,천안,주
2026-01-29,B,2,159,2,440,2,152,2,320,천안,야
2026-01-30,A,2,154,3,503,1,134,2,261,천안,주
2026-01-30,B,2,174,2,509,2,123,2,322,천안,야
2026-01-31,A,2,153,2,548,1,94,2,205,천안,주
2026-01-31,B,2,157,2,324,1,94,1,300,천안,야
2026-02-01,A,2,170,2,359,1,96,2,232,천안,주
2026-02-01,C,2,177,1,350,1,102,2,220,천안,야
2026-02-02,A,2,190,2,378,1,104,2,238,천안,주
2026-02-02,C,2,208,2,426,1,120,2,195,천안,야
2026-02-03,B,2,211,1,469,1,148,2,279,천안,주
2026-02-03,C,2,219,2,457,1,150,2,224,천안,야
2026-02-04,B,2,167,1,402,1,124,2,304,천안,주
2026-02-04,C,2,209,2,437,1,120,2,225,천안,야
2026-02-05,B,2,174,2,764,1,91,2,193,천안,주
2026-02-05,A,2,215,2,417,1,111,2,217,천안,야
2026-02-06,B,2,232,1,398,1,120,2,152,천안,주
2026-02-06,A,2,181,2,438,1,164,2,221,천안,야
2026-02-07,C,2,210,1,461,1,100,2,207,천안,주
2026-02-07,A,2,204,3,478,1,148,2,277,천안,야
2026-02-08,C,2,237,2,399,1,101,1,251,천안,주
2026-02-08,A,2,213,2,361,1,116,2,257,천안,야
2026-02-09,C,2,251,2,551,1,179,1,237,천안,주
2026-02-09,B,2,197,1,387,1,146,2,254,천안,야
2026-02-10,C,2,229,2,518,1,142,2,217,천안,주
2026-02-10,B,2,180,2,407,1,122,2,258,천안,야
2026-02-11,A,2,237,2,423,1,125,2,222,천안,주
2026-02-11,B,3,227,2,443,1,127,2,239,천안,야
2026-02-12,A,2,233,3,517,1,107,2,206,천안,주
2026-02-12,B,2,180,2,401,1,109,3,192,천안,야
2026-02-13,A,3,252,2,491,1,137,2,261,천안,주
2026-02-13,C,2,261,2,480,1,100,2,175,천안,야
2026-02-14,A,2,254,2,421,1,93,2,274,천안,주
2026-02-14,C,3,152,2,361,1,90,2,183,천안,야
2026-02-15,B,3,전산 Down,2,0,1,0,2,0,천안,주
2026-02-15,C,3,0,2,0,1,0,2,0,천안,야
2026-02-16,B,3,0,2,0,1,0,2,0,천안,주
2026-02-16,C,3,0,2,0,1,0,2,0,천안,야
2026-02-17,B,3,0,2,0,1,0,2,0,천안,주
2026-02-17,A,3,0,2,0,1,0,2,0,천안,야
2026-02-18,B,2,249,2,476,1,126,3,273,천안,주
2026-02-18,A,2,263,2,550,1,169,2,221,천안,야
2026-02-19,C,2,303,2,596,1,170,2,222,천안,주
2026-02-19,A,2,251,2,488,2,144,2,226,천안,야
2026-02-20,C,2,246,2,563,1,130,2,220,천안,주
2026-02-20,A,2,247,2,597,1,174,2,250,천안,야
2026-02-21,C,2,231,2,584,1,124,2,243,천안,주
2026-02-21,B,2,158,1,430,1,174,2,292,천안,야
2026-02-22,C,2,302,2,511,1,156,2,218,천안,주
2026-02-22,B,2,204,2,464,1,138,3,247,천안,야
2026-02-23,A,2,249,2,422,1,177,2,199,천안,주
2026-02-23,B,2,249,2,486,1,141,3,324,천안,야
2026-02-24,A,2,244,2,474,1,165,2,258,천안,주
2026-02-24,B,2,193,2,415,1,133,2,308,천안,야
2026-02-25,A,2,253,2,485,1,178,2,206,천안,주
2026-02-25,C,2,220,1,459,1,83,2,212,천안,야
2026-02-26,A,2,268,1,568,1,147,2,214,천안,주
2026-02-26,C,2,223,2,641,1,158,2,214,천안,야
2026-02-27,B,2,237,2,534,1,112,2,280,천안,주
2026-02-27,C,2,241,2,441,1,150,2,214,천안,야
2026-02-28,B,2,220,2,394,1,149,2,204,천안,주
2026-02-28,C,2,216,1,413,1,139,1,184,천안,야
2026-03-01,B,2,231,2,399,1,108,2,238,천안,주
2026-03-01,A,2,260,2,433,1,182,2,227,천안,야
2026-03-02,B,2,230,2,429,1,189,2,197,천안,주
2026-03-02,A,2,240,2,356,1,181,2,246,천안,야
2026-03-03,C,2,206,2,519,1,161,2,239,천안,주
2026-03-03,A,2,238,2,416,1,121,2,318,천안,야
2026-03-04,C,2,249,2,590,1,167,2,242,천안,주
2026-03-04,A,2,255,2,544,1,134,2,319,천안,야
2026-03-05,C,3,175,2,545,1,147,2,292,천안,주
2026-03-05,B,2,231,2,378,1,101,1,280,천안,야
2026-03-06,C,2,151,2,475,1,174,2,301,천안,주
2026-03-06,B,2,225,2,564,1,110,2,293,천안,야
2026-03-07,A,2,230,1,439,1,160,2,236,천안,주
2026-03-07,B,2,304,2,515,1,139,2,225,천안,야
2026-03-08,A,2,256,2,531,1,208,2,245,천안,주
2026-03-08,B,2,242,2,539,1,160,2,222,천안,야
2026-03-09,A,2,260,2,514,1,175,2,210,천안,주
2026-03-09,C,2,263,2,486,1,194,2,235,천안,야
2026-03-10,A,2,223,2,425,1,176,2,299,천안,주
2026-03-10,C,3,228,2,423,1,133,2,231,천안,야
2026-03-11,B,2,218,2,408,1,118,2,174,천안,주
2026-03-11,C,3,217,2,470,1,120,2,238,천안,야
2026-03-12,B,2,180,2,480,1,164,2,326,천안,주
2026-03-12,C,3,245,2,469,1,127,2,212,천안,야
2026-03-13,B,2,195,2,456,1,117,2,234,천안,주
2026-03-13,A,2,202,1,351,1,135,1,228,천안,야
2026-03-14,B,2,184,2,357,1,134,2,245,천안,주
2026-03-14,A,2,235,2,341,1,169,1,255,천안,야
2026-03-15,C,2,252,1,438,1,159,2,223,천안,주
2026-03-15,A,2,221,2,394,1,164,2,256,천안,야
