일자,조,종합측정실_인력,종합측정실_실적,치수_인력,치수_실적,Hole_인력,Hole_실적,외관_인력,외관_실적,캠퍼스,주야
2026-01-01,B,2,127,2,108,1,95,2,241,천안,주
2026-01-01,A,3,201,2,110,1,94,2,120,천안,야
2026-01-02,C,3,260,2,161,1,78,2,190,천안,주
2026-01-02,A,3,192,2,84,1,87,2,171,천안,야
2026-01-03,C,2,225,2,174,1,110,2,176,천안,주
2026-01-03,A,3,184,2,107,1,101,2,271,천안,야
2026-01-04,C,2,232,2,154,1,101,2,200,천안,주
2026-01-04,B,3,133,2,139,1,101,2,216,천안,야
2026-01-05,C,3,226,2,180,1,109,1,165,천안,주
2026-01-05,B,2,132,2,156,1,103,2,205,천안,야
2026-01-06,A,3,150,2,146,1,145,2,212,천안,주
2026-01-06,B,3,130,2,113,1,107,2,189,천안,야
2026-01-07,A,2,123,2,135,1,129,2,173,천안,주
2026-01-07,B,3,140,2,129,1,91,2,187,천안,야
2026-01-08,A,3,154,2,108,1,85,2,132,천안,주
2026-01-08,C,3,169,2,122,1,65,2,202,천안,야
2026-01-09,A,2,189,2,144,1,92,2,167,천안,주
2026-01-09,C,3,163,2,113,1,87,2,209,천안,야
2026-01-10,B,3,115,2,132,1,63,1,263,천안,주
2026-01-10,C,2,195,2,150,1,82,2,177,천안,야
2026-01-11,B,3,173,2,120,1,77,1,225,천안,주
2026-01-11,C,3,152,1,96,1,95,2,161,천안,야
2026-01-12,B,2,129,2,101,2,62,2,210,천안,주
2026-01-12,A,3,150,2,106,1,88,2,185,천안,야
2026-01-13,B,2,132,2,125,1,75,2,210,천안,주
2026-01-13,A,3,160,2,109,1,84,2,178,천안,야
2026-01-14,C,3,185,2,105,1,82,2,171,천안,주
2026-01-14,A,3,150,2,127,1,90,2,150,천안,야
2026-01-15,C,3,171,2,163,1,88,2,165,천안,주
2026-01-15,A,3,162,2,126,1,91,2,151,천안,야
2026-01-16,C,3,142,2,136,1,92,2,175,천안,주
2026-01-16,B,2,147,2,114,2,116,2,304,천안,야
2026-01-17,C,2,143,1,162,1,75,2,165,천안,주
2026-01-17,B,2,131,2,120,1,70,2,186,천안,야
2026-01-18,A,2,132,1,162,1,88,2,181,천안,주
2026-01-18,B,3,139,2,146,1,100,2,209,천안,야
2026-01-19,A,3,142,2,135,1,82,2,149,천안,주
2026-01-19,B,2,129,2,143,2,103,2,213,천안,야
2026-01-20,A,2,126,2,109,1,66,2,151,천안,주
2026-01-20,C,2,135,2,167,1,72,2,148,천안,야
2026-01-21,A,2,126,2,132,1,51,2,193,천안,주
2026-01-21,C,3,152,2,142,1,76,2,143,천안,야
2026-01-22,B,2,111,2,115,1,87,2,214,천안,주
2026-01-22,C,3,105,2,132,1,94,2,161,천안,야
2026-01-23,B,2,140,2,101,2,94,2,219,천안,주
2026-01-23,C,2,129,2,172,1,99,2,163,천안,야
2026-01-24,B,2,124,2,187,1,85,2,234,천안,주
2026-01-24,A,2,137,2,155,1,83,2,210,천안,야
2026-01-25,B,2,168,2,141,1,91,1,190,천안,주
2026-01-25,A,2,176,2,135,1,101,2,155,천안,야
2026-01-26,C,3,169,2,212,1,110,2,224,천안,주
2026-01-26,A,3,176,2,125,1,111,2,217,천안,야
2026-01-27,C,2,189,2,288,1,151,2,229,천안,주
2026-01-27,A,2,132,2,177,1,75,2,252,천안,야
2026-01-28,C,2,152,2,256,1,51,2,211,천안,주
2026-01-28,B,2,139,2,155,2,127,2,305,천안,야
2026-01-29,C,2,156,2,221,1,78,2,225,천안,주
2026-01-29,B,2,159,2,184,2,112,2,320,천안,야
2026-01-30,A,2,154,3,267,1,104,2,261,천안,주
2026-01-30,B,2,174,2,216,2,94,2,322,천안,야
2026-01-31,A,2,153,2,204,1,68,2,205,천안,주
2026-01-31,B,2,157,2,171,1,72,1,300,천안,야
2026-02-01,A,2,170,2,162,1,71,2,232,천안,주
2026-02-01,C,2,177,1,155,1,72,2,220,천안,야
2026-02-02,A,2,190,2,185,1,74,2,238,천안,주
2026-02-02,C,2,208,2,218,1,67,2,195,천안,야
2026-02-03,B,2,211,1,186,1,102,2,279,천안,주
2026-02-03,C,2,219,2,242,1,98,2,224,천안,야
2026-02-04,B,2,167,1,160,1,94,2,304,천안,주
2026-02-04,C,2,209,2,230,1,78,2,225,천안,야
2026-02-05,B,2,174,2,238,1,66,2,193,천안,주
2026-02-05,A,2,215,2,173,1,72,2,217,천안,야
2026-02-06,B,2,232,1,169,1,92,2,152,천안,주
2026-02-06,A,2,181,2,149,1,80,2,221,천안,야
2026-02-07,C,2,210,1,189,1,59,2,207,천안,주
2026-02-07,A,2,204,3,188,1,90,2,277,천안,야
2026-02-08,C,2,237,2,208,1,62,1,251,천안,주
2026-02-08,A,2,213,2,144,1,77,2,257,천안,야
2026-02-09,C,2,251,2,201,1,78,1,237,천안,주
2026-02-09,B,2,197,1,137,1,67,2,254,천안,야
