코드구분,제품명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
A3E09F-SM,CEL,1626,1637,1786,1784,1801,1852,1935,1943,2034,2058,2048,2034
A3E00T-SM,CEL,848,853,849,904,911,908,951,953,948,979,975,964
A4E001-SM,CEL,508,522,541,541,566,602,642,696,712,721,727,733
샘플1,CEL,0,268,607,607,613,613,606,609,606,613,610,606
A4E323-SL,CEL,386,389,388,429,440,446,454,456,454,459,457,454
샘플2,CEL,427,430,429,429,433,433,428,430,428,433,430,428
A4E660-SL,CEL,229,231,230,444,455,455,457,459,461,508,532,568
B3E205-SM,CEL,386,389,388,388,392,391,387,389,387,391,389,387
A4E579-SL,CEL,265,266,266,271,278,289,296,307,326,340,349,356
E3E010-SL,CEL,291,293,292,292,295,295,292,293,291,295,293,291
B3E086-SM,CEL,254,256,256,255,258,258,255,256,255,258,256,255
B3E015-SM,CEL,204,205,205,204,206,206,204,205,204,206,205,204
A4E011-SM,CEL,183,185,184,194,196,196,204,205,204,206,205,204
A3E00D-SM,CEL,204,195,194,194,186,186,184,185,184,186,185,184
B3E0VD-SH,CEL,153,154,154,153,155,155,153,154,153,155,154,153
A3E0PJ-SM,CEL,122,123,123,128,129,129,128,128,128,129,128,128
A3E042-SH,CEL,87,87,92,97,103,103,112,113,123,124,123,123
A3E0PG-SM,CEL,87,87,87,87,88,88,87,87,92,93,93,92
A4E067-SL,CEL,87,87,87,87,88,88,87,87,87,88,88,87
E3E025-SL,CEL,82,82,82,82,83,83,82,82,82,83,82,82
E3E024-SL,CEL,72,72,72,72,73,73,72,72,72,73,72,72
샘플3,CEL,0,0,0,62,62,62,92,93,92,124,123,123
샘플4,CEL,47,49,48,47,49,49,47,49,48,133,133,133
A3E00S-SH,CEL,67,67,67,67,67,67,67,67,67,67,67,67
E3E007-SL,CEL,66,66,66,66,66,66,66,66,66,66,66,66
E3E011-SL,CEL,66,66,66,66,66,66,66,66,66,66,66,66
C3E01S-SH,CEL,52,53,54,62,62,62,67,67,67,67,67,67
A4E356-SL,CEL,41,41,41,51,52,52,62,62,62,73,72,72
A4E007-SM,CEL,51,52,52,51,52,52,51,52,51,52,52,51
B3E040-SM,CEL,51,52,52,51,52,52,51,52,51,52,52,51
B3E147-SH,CEL,51,52,52,51,52,52,51,52,51,52,52,51
샘플5,CEL,51,52,52,51,52,52,51,52,51,52,52,51
A3E040-SM,CEL,41,41,41,41,42,42,36,36,36,37,36,36
A4E223-SL,CEL,26,26,26,26,26,26,26,26,26,26,26,26
E3E00B-SL,CEL,24,24,24,24,24,24,24,24,24,24,24,24
A4E125-SL,CEL,41,31,31,31,16,16,16,16,0,0,0,0
Z3E00F-SH,CEL,7,7,7,7,7,7,7,7,7,7,7,7
E3E009-SL,CEL,4,4,4,4,4,4,4,4,4,4,4,4
A4E031-SL,CEL,13,6,5,0,0,0,0,0,0,0,0,0
